ISO3,COUNTRY,JMP_REGNM,ALB_NE,ALB_SE,JMP_ALBSNE,SM_NE,SM_SE
CAF,Central African Republic,baminigui bangoran,0,64.44131238,64.44131238,0,0
CAF,Central African Republic,bangui,0,78.32508763,78.32508763,0,0
CAF,Central African Republic,basse kotto,0,20.31174823,20.31174823,0,0
CAF,Central African Republic,haut mbomou,0,44.12111821,44.12111821,0,0
CAF,Central African Republic,haute-kotto,0,53.731287,53.731287,0,0
CAF,Central African Republic,kémo,0,42.60500293,42.60500293,0,0
CAF,Central African Republic,lobaye,0,36.10214243,36.10214243,0,0
CAF,Central African Republic,mambere kadei,0,27.28300969,27.28300969,0,0
CAF,Central African Republic,mbomou,0,23.20211162,23.20211162,0,0
CAF,Central African Republic,nana grebizi,0,53.23125014,53.23125014,0,0
CAF,Central African Republic,nana mambéré,0,39.55433467,39.55433467,0,0
CAF,Central African Republic,ombella mpoko,0,43.49190718,43.49190718,0,0
CAF,Central African Republic,ouaka,0,35.70639005,35.70639005,0,0
CAF,Central African Republic,ouham,0,45.60549372,45.60549372,0,0
CAF,Central African Republic,ouham pende,0,54.59865449,54.59865449,0,0
CAF,Central African Republic,sangha mbaere,0,30.19467895,30.19467895,0,0
CAF,Central African Republic,vakaga,0,64.14925484,64.14925484,0,0
MKD,North Macedonia,pelagonia,93,98.7,98.7,86,91.27096774
MKD,North Macedonia,northeast,93,99,99,86,91.5483871
MKD,North Macedonia,southeast,93,97.6,97.6,86,90.25376344
MKD,North Macedonia,polog,93,99.7,99.7,86,92.19569892
MKD,North Macedonia,east,93,99.5,99.5,86,92.01075269
MKD,North Macedonia,skopje,93,99.8,99.8,86,92.28817204
MKD,North Macedonia,vardar,93,99.8,99.8,86,92.28817204
MKD,North Macedonia,southwest,93,99.8,99.8,86,92.28817204
JOR,Jordan,central,99,99.86414158,99.86414158,94,94.82049806
GAB,Gabon,estuaire,86,75.2,75.2,70,61.20930233
GAB,Gabon,haut-ogooué,86,76.6,76.6,70,62.34883721
GAB,Gabon,moyen-ogooué,86,67.1,67.1,70,54.61627907
GAB,Gabon,ngounié,86,72.8,72.8,70,59.25581395
GAB,Gabon,nyanga,86,52.7,52.7,70,42.89534884
GAB,Gabon,ogooué-ivindo,86,62.5,62.5,70,50.87209302
GAB,Gabon,ogooué-lolo,86,68.1,68.1,70,55.43023256
GAB,Gabon,ogooué maritime,86,76.3,76.3,70,62.10465116
GAB,Gabon,woleu-ntem,86,76.4,76.4,70,62.18604651
GAB,Gabon,libreville-port-gentil,86,94.5,94.5,70,76.91860465
NER,Niger,agadez,50,68.81796777,68.81796777,17,23.39810904
NER,Niger,diffa,50,67.20202326,67.20202326,17,22.84868791
NER,Niger,dosso,50,36.17073229,36.17073229,17,12.29804898
NER,Niger,maradi,50,38.50267036,38.50267036,17,13.09090792
NER,Niger,niamey,50,95.37386381,95.37386381,17,32.4271137
NER,Niger,tahoua,50,43.25884276,43.25884276,17,14.70800654
