system:index,ghi_threshold,mktSize,mktSize_cumul,opHours,rh_threshold,.geo
0,400,5.0,2.218223315E9,0,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,400,460691.0,2.21822331E9,1,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,400,1.5503791E7,2.217762619E9,2,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,400,4.4511057E7,2.202258828E9,3,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400,1.48388936E8,2.157747771E9,4,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,400,6.20316397E8,2.009358835E9,5,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,400,1.209579366E9,1.389042438E9,6,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,400,1.79463072E8,1.79463072E8,7,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,400,0.0,0.0,8,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,400,841.0,2.219306212E9,0,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,400,878946.0,2.219305371E9,1,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,400,3.5987178E7,2.218426425E9,2,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,400,1.29823363E8,2.182439247E9,3,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,400,3.6394715E8,2.052615884E9,4,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,400,9.38513707E8,1.688668734E9,5,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,400,6.7959384E8,7.50155027E8,6,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,400,7.0561187E7,7.0561187E7,7,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,400,1244939.0,2.221155427E9,0,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,400,3.5382274E7,2.219910488E9,1,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,400,1.07960631E8,2.184528214E9,2,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,400,3.36099428E8,2.076567583E9,3,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,400,6.00507026E8,1.740468155E9,4,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,400,7.11590511E8,1.139961129E9,5,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,400,3.88395674E8,4.28370618E8,6,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,400,3.9974944E7,3.9974944E7,7,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,400,2.877526E7,2.218884884E9,0,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,400,1.11781295E8,2.190109624E9,1,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,400,3.70111788E8,2.078328329E9,2,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,400,4.88645654E8,1.708216541E9,3,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,400,5.57362894E8,1.219570887E9,4,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,400,4.26831257E8,6.62207993E8,5,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,400,2.10198732E8,2.35376736E8,6,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,400,2.5178004E7,2.5178004E7,7,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,400,1.25029121E8,2.219249031E9,0,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,400,4.04552112E8,2.09421991E9,1,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,400,4.97392051E8,1.689667798E9,2,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,400,4.70803999E8,1.192275747E9,3,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,400,3.41450766E8,7.21471748E8,4,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,400,2.63220437E8,3.80020982E8,5,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
