system:index,ghi_threshold,mktSize,mktSize_cumul,opHours,rh_threshold,.geo
0,400,5.0,3.045049549E9,0,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,400,460691.0,3.045049544E9,1,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,400,1.777571E7,3.044588853E9,2,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,400,6.8227489E7,3.026813143E9,3,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400,1.84762674E8,2.958585654E9,4,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,400,8.61381648E8,2.77382298E9,5,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,400,1.698142029E9,1.912441332E9,6,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,400,2.14299303E8,2.14299303E8,7,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,400,0.0,0.0,8,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,400,3147.0,3.047435751E9,0,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,400,1005027.0,3.047432604E9,1,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,400,4.6024683E7,3.046427577E9,2,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,400,1.7189039E8,3.000402894E9,3,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,400,4.52557268E8,2.828512504E9,4,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,400,1.369635795E9,2.375955236E9,5,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,400,9.21521987E8,1.006319441E9,6,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,400,8.4797454E7,8.4797454E7,7,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,400,1593657.0,3.049012109E9,0,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,400,4.8215949E7,3.047418452E9,1,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,400,1.3164248E8,2.999202503E9,2,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,400,4.48648764E8,2.867560023E9,3,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,400,8.10379141E8,2.418911259E9,4,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,400,1.015432634E9,1.608532118E9,5,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,400,5.45368003E8,5.93099484E8,6,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,400,4.7731481E7,4.7731481E7,7,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,400,3.9338926E7,3.046296901E9,0,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,400,1.40538266E8,3.006957975E9,1,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,400,5.09579792E8,2.866419709E9,2,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
